[2026-08-12 09:20:38.42] Compiling `test/security/EchidnaMarketAccounting.sol`... Done! (7.000445s)
Analyzing contract: /private/var/folders/gc/k2l60lnx7d59j65323br2fr40000gn/T/cpredict-echidna.ahrT8W/repo/test/security/EchidnaMarketAccounting.sol:EchidnaMarketAccounting
[2026-08-12 09:20:45.57] Running slither on `test/security/EchidnaMarketAccounting.sol`... WARNING: Running slither failed. Echidna will continue, however fuzzing will likely be less effective.

Done! (1.772127s)
Loaded 0 transaction sequences from reports/security/echidna-corpus/reproducers
Loaded 0 transaction sequences from reports/security/echidna-corpus/coverage
[2026-08-12 09:20:47.51] [Worker 0] New coverage: 19939 instr, 23 contracts, 1 seqs in corpus
[2026-08-12 09:20:47.52]  Saved reproducer to reports/security/echidna-corpus/coverage/2078927052962597724.txt
[2026-08-12 09:20:49.79] [Worker 0] New coverage: 19942 instr, 23 contracts, 2 seqs in corpus
[2026-08-12 09:20:49.79]  Saved reproducer to reports/security/echidna-corpus/coverage/141526056126398154.txt
[2026-08-12 09:20:50.40] [status] tests: 0/4, fuzzing: 2708/1000000, values: [], cov: 19942, corpus: 2, gas/s: 76623433
[2026-08-12 09:29:56.89] [status] tests: 0/4, fuzzing: 460677/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68834185
[2026-08-12 09:29:59.89] [status] tests: 0/4, fuzzing: 463130/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67533693
[2026-08-12 09:30:02.90] [status] tests: 0/4, fuzzing: 465644/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66408671
[2026-08-12 09:30:05.90] [status] tests: 0/4, fuzzing: 468353/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70994379
[2026-08-12 09:30:08.90] [status] tests: 0/4, fuzzing: 470901/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67639244
[2026-08-12 09:30:11.90] [status] tests: 0/4, fuzzing: 473671/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73252085
[2026-08-12 09:30:14.91] [status] tests: 0/4, fuzzing: 475940/1000000, values: [], cov: 20104, corpus: 5, gas/s: 60597542
[2026-08-12 09:30:17.91] [status] tests: 0/4, fuzzing: 478210/1000000, values: [], cov: 20104, corpus: 5, gas/s: 62006916
[2026-08-12 09:30:20.91] [status] tests: 0/4, fuzzing: 480361/1000000, values: [], cov: 20104, corpus: 5, gas/s: 57381267
[2026-08-12 09:30:23.91] [status] tests: 0/4, fuzzing: 483142/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72919934
[2026-08-12 09:30:26.92] [status] tests: 0/4, fuzzing: 485892/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74372212
[2026-08-12 09:30:29.92] [status] tests: 0/4, fuzzing: 488741/1000000, values: [], cov: 20104, corpus: 5, gas/s: 76439438
[2026-08-12 09:30:32.92] [status] tests: 0/4, fuzzing: 491585/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75949556
[2026-08-12 09:30:35.95] [status] tests: 0/4, fuzzing: 492977/1000000, values: [], cov: 20104, corpus: 5, gas/s: 38358727
[2026-08-12 09:30:39.03] [status] tests: 0/4, fuzzing: 494161/1000000, values: [], cov: 20104, corpus: 5, gas/s: 32085695
[2026-08-12 09:30:42.03] [status] tests: 0/4, fuzzing: 496614/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65630801
[2026-08-12 09:30:45.03] [status] tests: 0/4, fuzzing: 497407/1000000, values: [], cov: 20104, corpus: 5, gas/s: 21522329
[2026-08-12 09:30:48.04] [status] tests: 0/4, fuzzing: 499627/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59677772
[2026-08-12 09:30:51.08] [status] tests: 0/4, fuzzing: 501461/1000000, values: [], cov: 20104, corpus: 5, gas/s: 48449236
[2026-08-12 09:30:54.08] [status] tests: 0/4, fuzzing: 504236/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75360466
[2026-08-12 09:30:57.08] [status] tests: 0/4, fuzzing: 506916/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74356624
[2026-08-12 09:31:00.09] [status] tests: 0/4, fuzzing: 509537/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71205414
[2026-08-12 09:31:03.09] [status] tests: 0/4, fuzzing: 511977/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66572515
[2026-08-12 09:31:06.09] [status] tests: 0/4, fuzzing: 514436/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66922019
[2026-08-12 09:31:09.09] [status] tests: 0/4, fuzzing: 517159/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73945193
[2026-08-12 09:31:12.09] [status] tests: 0/4, fuzzing: 519904/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73749153
[2026-08-12 09:31:15.09] [status] tests: 0/4, fuzzing: 522223/1000000, values: [], cov: 20104, corpus: 5, gas/s: 62849738
[2026-08-12 09:31:18.10] [status] tests: 0/4, fuzzing: 524349/1000000, values: [], cov: 20104, corpus: 5, gas/s: 57041978
[2026-08-12 09:31:21.10] [status] tests: 0/4, fuzzing: 526155/1000000, values: [], cov: 20104, corpus: 5, gas/s: 49909514
[2026-08-12 09:31:24.10] [status] tests: 0/4, fuzzing: 528460/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61460631
[2026-08-12 09:31:27.10] [status] tests: 0/4, fuzzing: 530875/1000000, values: [], cov: 20104, corpus: 5, gas/s: 64320328
[2026-08-12 09:31:30.10] [status] tests: 0/4, fuzzing: 533432/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69262698
[2026-08-12 09:31:33.10] [status] tests: 0/4, fuzzing: 536009/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68050128
[2026-08-12 09:31:36.10] [status] tests: 0/4, fuzzing: 538121/1000000, values: [], cov: 20104, corpus: 5, gas/s: 56347662
[2026-08-12 09:31:39.11] [status] tests: 0/4, fuzzing: 540918/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75233221
[2026-08-12 09:31:42.11] [status] tests: 0/4, fuzzing: 543658/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74598049
[2026-08-12 09:31:45.11] [status] tests: 0/4, fuzzing: 546455/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73676993
[2026-08-12 09:31:48.11] [status] tests: 0/4, fuzzing: 549006/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69527437
[2026-08-12 09:31:51.12] [status] tests: 0/4, fuzzing: 551557/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67339686
[2026-08-12 09:31:54.14] [status] tests: 0/4, fuzzing: 554389/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75488627
[2026-08-12 09:31:57.14] [status] tests: 0/4, fuzzing: 557074/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73159165
[2026-08-12 09:32:00.14] [status] tests: 0/4, fuzzing: 559229/1000000, values: [], cov: 20104, corpus: 5, gas/s: 56788774
[2026-08-12 09:32:03.15] [status] tests: 0/4, fuzzing: 561925/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72456731
[2026-08-12 09:32:06.15] [status] tests: 0/4, fuzzing: 564627/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70716627
[2026-08-12 09:32:09.15] [status] tests: 0/4, fuzzing: 567391/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74095186
[2026-08-12 09:32:12.15] [status] tests: 0/4, fuzzing: 570229/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74797274
[2026-08-12 09:32:15.15] [status] tests: 0/4, fuzzing: 572803/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70802267
[2026-08-12 09:32:18.16] [status] tests: 0/4, fuzzing: 575323/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68510383
[2026-08-12 09:32:21.16] [status] tests: 0/4, fuzzing: 578027/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74626812
[2026-08-12 09:32:24.16] [status] tests: 0/4, fuzzing: 579962/1000000, values: [], cov: 20104, corpus: 5, gas/s: 51008026
[2026-08-12 09:32:27.16] [status] tests: 0/4, fuzzing: 582720/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72807994
[2026-08-12 09:32:30.16] [status] tests: 0/4, fuzzing: 585488/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75188982
[2026-08-12 09:32:33.16] [status] tests: 0/4, fuzzing: 588154/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72414163
[2026-08-12 09:32:36.17] [status] tests: 0/4, fuzzing: 589562/1000000, values: [], cov: 20104, corpus: 5, gas/s: 38186694
[2026-08-12 09:32:39.17] [status] tests: 0/4, fuzzing: 591626/1000000, values: [], cov: 20104, corpus: 5, gas/s: 56316016
[2026-08-12 09:32:42.17] [status] tests: 0/4, fuzzing: 594090/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63013546
[2026-08-12 09:32:45.17] [status] tests: 0/4, fuzzing: 596429/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63768711
[2026-08-12 09:32:48.18] [status] tests: 0/4, fuzzing: 598255/1000000, values: [], cov: 20104, corpus: 5, gas/s: 48584119
[2026-08-12 09:32:51.19] [status] tests: 0/4, fuzzing: 600446/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59474086
[2026-08-12 09:32:54.20] [status] tests: 0/4, fuzzing: 602939/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67325382
[2026-08-12 09:32:57.20] [status] tests: 0/4, fuzzing: 605540/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68809221
[2026-08-12 09:33:00.20] [status] tests: 0/4, fuzzing: 606764/1000000, values: [], cov: 20104, corpus: 5, gas/s: 33559979
[2026-08-12 09:33:03.20] [status] tests: 0/4, fuzzing: 608486/1000000, values: [], cov: 20104, corpus: 5, gas/s: 45922573
[2026-08-12 09:33:06.20] [status] tests: 0/4, fuzzing: 610913/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63668668
[2026-08-12 09:33:09.20] [status] tests: 0/4, fuzzing: 613623/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73061218
[2026-08-12 09:33:12.20] [status] tests: 0/4, fuzzing: 616279/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70589578
[2026-08-12 09:33:15.21] [status] tests: 0/4, fuzzing: 618859/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68522666
[2026-08-12 09:33:18.21] [status] tests: 0/4, fuzzing: 621163/1000000, values: [], cov: 20104, corpus: 5, gas/s: 60122734
[2026-08-12 09:33:21.21] [status] tests: 0/4, fuzzing: 623655/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68204341
[2026-08-12 09:33:24.22] [status] tests: 0/4, fuzzing: 626170/1000000, values: [], cov: 20104, corpus: 5, gas/s: 64722725
[2026-08-12 09:33:27.22] [status] tests: 0/4, fuzzing: 628996/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74469230
[2026-08-12 09:33:30.22] [status] tests: 0/4, fuzzing: 631600/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69962246
[2026-08-12 09:33:33.22] [status] tests: 0/4, fuzzing: 634429/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75686838
[2026-08-12 09:33:36.23] [status] tests: 0/4, fuzzing: 636897/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67728050
[2026-08-12 09:33:39.23] [status] tests: 0/4, fuzzing: 639602/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74618351
[2026-08-12 09:33:42.23] [status] tests: 0/4, fuzzing: 642362/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72251268
[2026-08-12 09:33:45.23] [status] tests: 0/4, fuzzing: 645025/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70180360
[2026-08-12 09:33:48.23] [status] tests: 0/4, fuzzing: 647845/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75343451
[2026-08-12 09:33:51.23] [status] tests: 0/4, fuzzing: 650261/1000000, values: [], cov: 20104, corpus: 5, gas/s: 64367481
[2026-08-12 09:33:54.24] [status] tests: 0/4, fuzzing: 652910/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72349064
[2026-08-12 09:33:57.24] [status] tests: 0/4, fuzzing: 655529/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69205783
[2026-08-12 09:34:00.24] [status] tests: 0/4, fuzzing: 658005/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66745195
[2026-08-12 09:34:03.24] [status] tests: 0/4, fuzzing: 660500/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66525103
[2026-08-12 09:34:06.24] [status] tests: 0/4, fuzzing: 663047/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66722187
[2026-08-12 09:34:09.24] [status] tests: 0/4, fuzzing: 665845/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73807232
[2026-08-12 09:34:12.24] [status] tests: 0/4, fuzzing: 668420/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67662714
[2026-08-12 09:34:15.25] [status] tests: 0/4, fuzzing: 670840/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65022949
[2026-08-12 09:34:18.25] [status] tests: 0/4, fuzzing: 672412/1000000, values: [], cov: 20104, corpus: 5, gas/s: 41309602
[2026-08-12 09:34:21.27] [status] tests: 0/4, fuzzing: 673057/1000000, values: [], cov: 20104, corpus: 5, gas/s: 17685904
[2026-08-12 09:34:24.27] [status] tests: 0/4, fuzzing: 675636/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69289483
[2026-08-12 09:34:27.27] [status] tests: 0/4, fuzzing: 678159/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67572239
[2026-08-12 09:34:30.27] [status] tests: 0/4, fuzzing: 680739/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70007475
[2026-08-12 09:34:33.28] [status] tests: 0/4, fuzzing: 683290/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69616064
[2026-08-12 09:34:36.28] [status] tests: 0/4, fuzzing: 685763/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66974171
[2026-08-12 09:34:39.28] [status] tests: 0/4, fuzzing: 688115/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61760981
[2026-08-12 09:34:42.28] [status] tests: 0/4, fuzzing: 690869/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73149234
[2026-08-12 09:34:45.28] [status] tests: 0/4, fuzzing: 693312/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66048252
[2026-08-12 09:34:48.29] [status] tests: 0/4, fuzzing: 695737/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63953670
[2026-08-12 09:34:51.29] [status] tests: 0/4, fuzzing: 697948/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59721067
[2026-08-12 09:34:54.29] [status] tests: 0/4, fuzzing: 699625/1000000, values: [], cov: 20104, corpus: 5, gas/s: 43787898
[2026-08-12 09:34:57.29] [status] tests: 0/4, fuzzing: 701982/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63320025
[2026-08-12 09:35:00.37] [status] tests: 0/4, fuzzing: 703882/1000000, values: [], cov: 20104, corpus: 5, gas/s: 50208223
[2026-08-12 09:35:02.34] [Worker 0] New coverage: 23884 instr, 23 contracts, 6 seqs in corpus
[2026-08-12 09:35:02.34]  Saved reproducer to reports/security/echidna-corpus/coverage/4983326489013727889.txt
[2026-08-12 09:35:03.37] [status] tests: 0/4, fuzzing: 706369/1000000, values: [], cov: 23884, corpus: 6, gas/s: 67059047
[2026-08-12 09:35:06.37] [status] tests: 0/4, fuzzing: 709108/1000000, values: [], cov: 23884, corpus: 6, gas/s: 71248279
[2026-08-12 09:35:07.28] [Worker 0] New coverage: 24306 instr, 23 contracts, 7 seqs in corpus
[2026-08-12 09:35:07.29]  Saved reproducer to reports/security/echidna-corpus/coverage/8344686955307153794.txt
[2026-08-12 09:35:07.57] [Worker 0] New coverage: 24367 instr, 23 contracts, 8 seqs in corpus
[2026-08-12 09:35:07.57]  Saved reproducer to reports/security/echidna-corpus/coverage/7162099848114414720.txt
[2026-08-12 09:35:09.37] [status] tests: 0/4, fuzzing: 711540/1000000, values: [], cov: 24367, corpus: 8, gas/s: 62944103
[2026-08-12 09:35:12.37] [status] tests: 0/4, fuzzing: 713777/1000000, values: [], cov: 24367, corpus: 8, gas/s: 58051859
[2026-08-12 09:35:15.37] [status] tests: 0/4, fuzzing: 715875/1000000, values: [], cov: 24367, corpus: 8, gas/s: 55122206
[2026-08-12 09:35:18.41] [status] tests: 0/4, fuzzing: 718103/1000000, values: [], cov: 24367, corpus: 8, gas/s: 57695392
[2026-08-12 09:35:21.45] [status] tests: 0/4, fuzzing: 720464/1000000, values: [], cov: 24367, corpus: 8, gas/s: 60413200
[2026-08-12 09:35:24.45] [status] tests: 0/4, fuzzing: 722813/1000000, values: [], cov: 24367, corpus: 8, gas/s: 60869128
[2026-08-12 09:35:27.45] [status] tests: 0/4, fuzzing: 725502/1000000, values: [], cov: 24367, corpus: 8, gas/s: 68996557
[2026-08-12 09:35:30.46] [status] tests: 0/4, fuzzing: 728224/1000000, values: [], cov: 24367, corpus: 8, gas/s: 70612358
[2026-08-12 09:35:33.46] [status] tests: 0/4, fuzzing: 730600/1000000, values: [], cov: 24367, corpus: 8, gas/s: 61002114
[2026-08-12 09:35:36.46] [status] tests: 0/4, fuzzing: 733161/1000000, values: [], cov: 24367, corpus: 8, gas/s: 65080958
[2026-08-12 09:35:39.46] [status] tests: 0/4, fuzzing: 735936/1000000, values: [], cov: 24367, corpus: 8, gas/s: 71869283
[2026-08-12 09:35:42.46] [status] tests: 0/4, fuzzing: 738448/1000000, values: [], cov: 24367, corpus: 8, gas/s: 66747159
[2026-08-12 09:35:45.46] [status] tests: 0/4, fuzzing: 740622/1000000, values: [], cov: 24367, corpus: 8, gas/s: 56594189
[2026-08-12 09:35:48.46] [status] tests: 0/4, fuzzing: 743244/1000000, values: [], cov: 24367, corpus: 8, gas/s: 68431907
[2026-08-12 09:35:51.47] [status] tests: 0/4, fuzzing: 745297/1000000, values: [], cov: 24367, corpus: 8, gas/s: 53651032
[2026-08-12 09:35:54.47] [status] tests: 0/4, fuzzing: 748150/1000000, values: [], cov: 24367, corpus: 8, gas/s: 74064626
[2026-08-12 09:35:57.47] [status] tests: 0/4, fuzzing: 750834/1000000, values: [], cov: 24367, corpus: 8, gas/s: 69880658
[2026-08-12 09:36:00.48] [status] tests: 0/4, fuzzing: 752769/1000000, values: [], cov: 24367, corpus: 8, gas/s: 50602690
[2026-08-12 09:36:03.52] [status] tests: 0/4, fuzzing: 755348/1000000, values: [], cov: 24367, corpus: 8, gas/s: 66314113
[2026-08-12 09:36:06.52] [status] tests: 0/4, fuzzing: 757770/1000000, values: [], cov: 24367, corpus: 8, gas/s: 64246369
[2026-08-12 09:36:09.53] [status] tests: 0/4, fuzzing: 760381/1000000, values: [], cov: 24367, corpus: 8, gas/s: 67826775
[2026-08-12 09:36:12.53] [status] tests: 0/4, fuzzing: 762898/1000000, values: [], cov: 24367, corpus: 8, gas/s: 65382224
[2026-08-12 09:36:15.53] [status] tests: 0/4, fuzzing: 765227/1000000, values: [], cov: 24367, corpus: 8, gas/s: 61060567
[2026-08-12 09:36:18.53] [status] tests: 0/4, fuzzing: 767598/1000000, values: [], cov: 24367, corpus: 8, gas/s: 61456184
[2026-08-12 09:36:21.53] [status] tests: 0/4, fuzzing: 770018/1000000, values: [], cov: 24367, corpus: 8, gas/s: 62813023
[2026-08-12 09:36:24.53] [status] tests: 0/4, fuzzing: 772491/1000000, values: [], cov: 24367, corpus: 8, gas/s: 64839209
[2026-08-12 09:36:27.53] [status] tests: 0/4, fuzzing: 775307/1000000, values: [], cov: 24367, corpus: 8, gas/s: 72485498
[2026-08-12 09:36:30.54] [status] tests: 0/4, fuzzing: 778024/1000000, values: [], cov: 24367, corpus: 8, gas/s: 71289209
[2026-08-12 09:36:33.54] [status] tests: 0/4, fuzzing: 780720/1000000, values: [], cov: 24367, corpus: 8, gas/s: 71239142
[2026-08-12 09:36:36.54] [status] tests: 0/4, fuzzing: 783369/1000000, values: [], cov: 24367, corpus: 8, gas/s: 69120259
[2026-08-12 09:36:39.54] [status] tests: 0/4, fuzzing: 785910/1000000, values: [], cov: 24367, corpus: 8, gas/s: 67131058
[2026-08-12 09:36:42.54] [status] tests: 0/4, fuzzing: 787878/1000000, values: [], cov: 24367, corpus: 8, gas/s: 49908173
[2026-08-12 09:36:45.55] [status] tests: 0/4, fuzzing: 789555/1000000, values: [], cov: 24367, corpus: 8, gas/s: 43365304
[2026-08-12 09:36:48.55] [status] tests: 0/4, fuzzing: 792264/1000000, values: [], cov: 24367, corpus: 8, gas/s: 69387475
[2026-08-12 09:36:51.55] [status] tests: 0/4, fuzzing: 794284/1000000, values: [], cov: 24367, corpus: 8, gas/s: 52112565
[2026-08-12 09:36:54.55] [status] tests: 0/4, fuzzing: 797084/1000000, values: [], cov: 24367, corpus: 8, gas/s: 71886329
[2026-08-12 09:36:57.55] [status] tests: 0/4, fuzzing: 799187/1000000, values: [], cov: 24367, corpus: 8, gas/s: 54263301
[2026-08-12 09:37:00.55] [status] tests: 0/4, fuzzing: 801896/1000000, values: [], cov: 24367, corpus: 8, gas/s: 70386003
[2026-08-12 09:37:03.55] [status] tests: 0/4, fuzzing: 804644/1000000, values: [], cov: 24367, corpus: 8, gas/s: 70518644
[2026-08-12 09:37:06.55] [status] tests: 0/4, fuzzing: 807532/1000000, values: [], cov: 24367, corpus: 8, gas/s: 75495007
[2026-08-12 09:37:09.56] [status] tests: 0/4, fuzzing: 810147/1000000, values: [], cov: 24367, corpus: 8, gas/s: 67269021
[2026-08-12 09:37:12.56] [status] tests: 0/4, fuzzing: 813003/1000000, values: [], cov: 24367, corpus: 8, gas/s: 73871722
[2026-08-12 09:37:15.56] [status] tests: 0/4, fuzzing: 815569/1000000, values: [], cov: 24367, corpus: 8, gas/s: 67763189
[2026-08-12 09:37:18.56] [status] tests: 0/4, fuzzing: 817935/1000000, values: [], cov: 24367, corpus: 8, gas/s: 61107569
[2026-08-12 09:37:21.60] [status] tests: 0/4, fuzzing: 820495/1000000, values: [], cov: 24367, corpus: 8, gas/s: 66075840
[2026-08-12 09:37:24.60] [status] tests: 0/4, fuzzing: 823022/1000000, values: [], cov: 24367, corpus: 8, gas/s: 65503564
[2026-08-12 09:37:27.60] [status] tests: 0/4, fuzzing: 825761/1000000, values: [], cov: 24367, corpus: 8, gas/s: 72148433
[2026-08-12 09:37:30.60] [status] tests: 0/4, fuzzing: 828242/1000000, values: [], cov: 24367, corpus: 8, gas/s: 64829141
[2026-08-12 09:37:33.60] [status] tests: 0/4, fuzzing: 830693/1000000, values: [], cov: 24367, corpus: 8, gas/s: 62517941
[2026-08-12 09:37:36.61] [status] tests: 0/4, fuzzing: 832634/1000000, values: [], cov: 24367, corpus: 8, gas/s: 50794518
[2026-08-12 09:37:39.61] [status] tests: 0/4, fuzzing: 834440/1000000, values: [], cov: 24367, corpus: 8, gas/s: 46023679
[2026-08-12 09:37:42.61] [status] tests: 0/4, fuzzing: 837005/1000000, values: [], cov: 24367, corpus: 8, gas/s: 66908775
[2026-08-12 09:37:45.61] [status] tests: 0/4, fuzzing: 839619/1000000, values: [], cov: 24367, corpus: 8, gas/s: 67632438
[2026-08-12 09:37:48.62] [status] tests: 0/4, fuzzing: 842070/1000000, values: [], cov: 24367, corpus: 8, gas/s: 63779625
[2026-08-12 09:37:51.62] [status] tests: 0/4, fuzzing: 844134/1000000, values: [], cov: 24367, corpus: 8, gas/s: 55334149
[2026-08-12 09:37:54.62] [status] tests: 0/4, fuzzing: 846575/1000000, values: [], cov: 24367, corpus: 8, gas/s: 63531419
[2026-08-12 09:37:57.62] [status] tests: 0/4, fuzzing: 848554/1000000, values: [], cov: 24367, corpus: 8, gas/s: 51145675
[2026-08-12 09:38:00.62] [status] tests: 0/4, fuzzing: 850689/1000000, values: [], cov: 24367, corpus: 8, gas/s: 55233166
[2026-08-12 09:38:03.62] [status] tests: 0/4, fuzzing: 853234/1000000, values: [], cov: 24367, corpus: 8, gas/s: 66076489
[2026-08-12 09:38:06.63] [status] tests: 0/4, fuzzing: 855474/1000000, values: [], cov: 24367, corpus: 8, gas/s: 58440710
[2026-08-12 09:38:09.63] [status] tests: 0/4, fuzzing: 857151/1000000, values: [], cov: 24367, corpus: 8, gas/s: 42515836
[2026-08-12 09:38:12.63] [status] tests: 0/4, fuzzing: 858810/1000000, values: [], cov: 24367, corpus: 8, gas/s: 43362107
[2026-08-12 09:38:15.63] [status] tests: 0/4, fuzzing: 861207/1000000, values: [], cov: 24367, corpus: 8, gas/s: 62698907
[2026-08-12 09:38:18.63] [status] tests: 0/4, fuzzing: 863399/1000000, values: [], cov: 24367, corpus: 8, gas/s: 57044253
[2026-08-12 09:38:21.64] [status] tests: 0/4, fuzzing: 865558/1000000, values: [], cov: 24367, corpus: 8, gas/s: 56272171
[2026-08-12 09:38:24.64] [status] tests: 0/4, fuzzing: 867569/1000000, values: [], cov: 24367, corpus: 8, gas/s: 52370732
[2026-08-12 09:38:27.64] [status] tests: 0/4, fuzzing: 869965/1000000, values: [], cov: 24367, corpus: 8, gas/s: 62167447
[2026-08-12 09:38:30.64] [status] tests: 0/4, fuzzing: 872484/1000000, values: [], cov: 24367, corpus: 8, gas/s: 65013231
[2026-08-12 09:38:33.64] [status] tests: 0/4, fuzzing: 874935/1000000, values: [], cov: 24367, corpus: 8, gas/s: 63354132
[2026-08-12 09:38:36.64] [status] tests: 0/4, fuzzing: 877134/1000000, values: [], cov: 24367, corpus: 8, gas/s: 57652586
[2026-08-12 09:38:39.65] [status] tests: 0/4, fuzzing: 879581/1000000, values: [], cov: 24367, corpus: 8, gas/s: 63220964
[2026-08-12 09:38:42.65] [status] tests: 0/4, fuzzing: 881758/1000000, values: [], cov: 24367, corpus: 8, gas/s: 56731209
[2026-08-12 09:38:45.66] [status] tests: 0/4, fuzzing: 883467/1000000, values: [], cov: 24367, corpus: 8, gas/s: 43568846
[2026-08-12 09:38:48.67] [status] tests: 0/4, fuzzing: 885382/1000000, values: [], cov: 24367, corpus: 8, gas/s: 49227150
[2026-08-12 09:38:51.67] [status] tests: 0/4, fuzzing: 888220/1000000, values: [], cov: 24367, corpus: 8, gas/s: 74222626
[2026-08-12 09:38:54.67] [status] tests: 0/4, fuzzing: 891158/1000000, values: [], cov: 24367, corpus: 8, gas/s: 76781602
[2026-08-12 09:38:57.68] [status] tests: 0/4, fuzzing: 893984/1000000, values: [], cov: 24367, corpus: 8, gas/s: 72944638
[2026-08-12 09:39:00.68] [status] tests: 0/4, fuzzing: 896708/1000000, values: [], cov: 24367, corpus: 8, gas/s: 69807617
[2026-08-12 09:39:03.68] [status] tests: 0/4, fuzzing: 899218/1000000, values: [], cov: 24367, corpus: 8, gas/s: 64628808
[2026-08-12 09:39:06.68] [status] tests: 0/4, fuzzing: 901860/1000000, values: [], cov: 24367, corpus: 8, gas/s: 68667935
[2026-08-12 09:39:09.68] [status] tests: 0/4, fuzzing: 904415/1000000, values: [], cov: 24367, corpus: 8, gas/s: 65501710
[2026-08-12 09:39:10.78] [Worker 0] New coverage: 24373 instr, 23 contracts, 9 seqs in corpus
[2026-08-12 09:39:10.79]  Saved reproducer to reports/security/echidna-corpus/coverage/369137285257488894.txt
[2026-08-12 09:39:12.68] [status] tests: 0/4, fuzzing: 907161/1000000, values: [], cov: 24373, corpus: 9, gas/s: 72730222
[2026-08-12 09:39:15.69] [status] tests: 0/4, fuzzing: 908580/1000000, values: [], cov: 24373, corpus: 9, gas/s: 37121276
[2026-08-12 09:39:18.69] [status] tests: 0/4, fuzzing: 909997/1000000, values: [], cov: 24373, corpus: 9, gas/s: 38169832
